----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:18.22%, time:142 m:16 s, avg loss: 11.62, avg acc:0.1495%, last loss: 10.77
Train completion:18.35%, time:143 m:17 s, avg loss: 11.62, avg acc:0.1484%, last loss: 11.41
Train completion:18.48%, time:144 m:16 s, avg loss: 11.61, avg acc:0.1473%, last loss: 10.89
Train completion:18.61%, time:145 m:18 s, avg loss: 11.61, avg acc:0.1463%, last loss: 10.57
Train completion:18.74%, time:146 m:18 s, avg loss: 11.60, avg acc:0.1452%, last loss: 11.01
Train completion:18.88%, time:147 m:19 s, avg loss: 11.60, avg acc:0.1442%, last loss: 10.79
Train completion:19.01%, time:148 m:21 s, avg loss: 11.59, avg acc:0.1432%, last loss: 10.62
Train completion:19.14%, time:149 m:23 s, avg loss: 11.59, avg acc:0.1422%, last loss: 11.04
Train completion:19.27%, time:150 m:25 s, avg loss: 11.58, avg acc:0.1413%, last loss: 11.26
Train completion:19.40%, time:151 m:27 s, avg loss: 11.58, avg acc:0.1403%, last loss: 11.15
Train completion:19.54%, time:152 m:29 s, avg loss: 11.58, avg acc:0.1394%, last loss: 11.08
Train completion:19.67%, time:153 m:32 s, avg loss: 11.57, avg acc:0.1384%, last loss: 11.13
Train completion:19.80%, time:154 m:34 s, avg loss: 11.57, avg acc:0.1375%, last loss: 10.74
Train completion:19.93%, time:155 m:37 s, avg loss: 11.56, avg acc:0.1366%, last loss: 10.98
Train completion:20.06%, time:156 m:37 s, avg loss: 11.56, avg acc:0.1357%, last loss: 11.11
Train completion:20.20%, time:157 m:39 s, avg loss: 11.56, avg acc:0.1348%, last loss: 10.66
Train completion:20.33%, time:158 m:37 s, avg loss: 11.55, avg acc:0.1339%, last loss: 10.85
Train completion:20.46%, time:159 m:38 s, avg loss: 11.55, avg acc:0.1331%, last loss: 10.78
Train completion:20.59%, time:160 m:41 s, avg loss: 11.54, avg acc:0.1322%, last loss: 10.93
Train completion:20.72%, time:161 m:44 s, avg loss: 11.54, avg acc:0.1314%, last loss: 10.60
Train completion:20.86%, time:162 m:47 s, avg loss: 11.53, avg acc:0.1305%, last loss: 11.12
Train completion:20.99%, time:163 m:48 s, avg loss: 11.53, avg acc:0.1297%, last loss: 10.73
Train completion:21.12%, time:164 m:51 s, avg loss: 11.53, avg acc:0.1289%, last loss: 11.31
Train completion:21.25%, time:165 m:53 s, avg loss: 11.52, avg acc:0.1281%, last loss: 10.95
Train completion:21.38%, time:166 m:57 s, avg loss: 11.52, avg acc:0.1273%, last loss: 10.70
Train completion:21.52%, time:167 m:57 s, avg loss: 11.51, avg acc:0.1265%, last loss: 10.75
Train completion:21.65%, time:169 m:1 s, avg loss: 11.51, avg acc:0.1258%, last loss: 10.59
Train completion:21.78%, time:170 m:3 s, avg loss: 11.51, avg acc:0.1250%, last loss: 10.65
Train completion:21.91%, time:171 m:8 s, avg loss: 11.50, avg acc:0.1242%, last loss: 11.08
Train completion:22.04%, time:172 m:13 s, avg loss: 11.50, avg acc:0.1235%, last loss: 11.01
Train completion:22.18%, time:173 m:17 s, avg loss: 11.49, avg acc:0.1228%, last loss: 11.30
Train completion:22.31%, time:174 m:21 s, avg loss: 11.49, avg acc:0.1220%, last loss: 11.14
Train completion:22.44%, time:175 m:25 s, avg loss: 11.49, avg acc:0.1213%, last loss: 10.71
Train completion:22.57%, time:176 m:28 s, avg loss: 11.48, avg acc:0.1206%, last loss: 10.85
Train completion:22.70%, time:177 m:30 s, avg loss: 11.48, avg acc:0.1199%, last loss: 10.34
Train completion:22.84%, time:178 m:34 s, avg loss: 11.47, avg acc:0.1192%, last loss: 10.55
Train completion:22.97%, time:179 m:35 s, avg loss: 11.47, avg acc:0.1185%, last loss: 10.86
Train completion:23.10%, time:180 m:38 s, avg loss: 11.47, avg acc:0.1179%, last loss: 10.72
Train completion:23.23%, time:181 m:42 s, avg loss: 11.46, avg acc:0.1172%, last loss: 10.72
Train completion:23.36%, time:182 m:43 s, avg loss: 11.46, avg acc:0.1165%, last loss: 10.71
Train completion:23.50%, time:183 m:46 s, avg loss: 11.45, avg acc:0.1159%, last loss: 10.80
Train completion:23.63%, time:184 m:47 s, avg loss: 11.45, avg acc:0.1152%, last loss: 10.65
Train completion:23.76%, time:185 m:50 s, avg loss: 11.45, avg acc:0.1146%, last loss: 10.66
Train completion:23.89%, time:186 m:55 s, avg loss: 11.44, avg acc:0.1140%, last loss: 10.56
Train completion:24.02%, time:188 m:0 s, avg loss: 11.44, avg acc:0.1133%, last loss: 10.86
Train completion:24.16%, time:189 m:4 s, avg loss: 11.43, avg acc:0.1127%, last loss: 10.90
Train completion:24.29%, time:190 m:8 s, avg loss: 11.43, avg acc:0.1121%, last loss: 10.94
Train completion:24.42%, time:191 m:14 s, avg loss: 11.43, avg acc:0.1115%, last loss: 10.78
Train completion:24.55%, time:192 m:18 s, avg loss: 11.42, avg acc:0.1109%, last loss: 10.93
Train completion:24.68%, time:193 m:21 s, avg loss: 11.42, avg acc:0.1103%, last loss: 10.87
Train completion:24.82%, time:194 m:24 s, avg loss: 11.42, avg acc:0.1097%, last loss: 10.58
Train completion:24.95%, time:195 m:27 s, avg loss: 11.41, avg acc:0.1091%, last loss: 10.71
Train completion:25.08%, time:196 m:30 s, avg loss: 11.41, avg acc:0.1086%, last loss: 10.54
Train completion:25.21%, time:197 m:32 s, avg loss: 11.41, avg acc:0.1080%, last loss: 10.61
Train completion:25.34%, time:198 m:34 s, avg loss: 11.40, avg acc:0.1074%, last loss: 11.18
Train completion:25.48%, time:199 m:36 s, avg loss: 11.40, avg acc:0.1069%, last loss: 10.72
Train completion:25.61%, time:200 m:39 s, avg loss: 11.39, avg acc:0.1063%, last loss: 10.38
Train completion:25.74%, time:201 m:43 s, avg loss: 11.39, avg acc:0.1058%, last loss: 10.45
Train completion:25.87%, time:202 m:48 s, avg loss: 11.39, avg acc:0.1052%, last loss: 10.75
Train completion:26.00%, time:203 m:49 s, avg loss: 11.38, avg acc:0.1047%, last loss: 10.84
Train completion:26.14%, time:204 m:52 s, avg loss: 11.38, avg acc:0.1042%, last loss: 10.59
Train completion:26.27%, time:205 m:56 s, avg loss: 11.38, avg acc:0.1036%, last loss: 10.70
Train completion:26.40%, time:206 m:59 s, avg loss: 11.37, avg acc:0.1031%, last loss: 10.67
Train completion:26.53%, time:208 m:3 s, avg loss: 11.37, avg acc:0.1026%, last loss: 10.88
Train completion:26.66%, time:209 m:7 s, avg loss: 11.37, avg acc:0.1021%, last loss: 10.71
Train completion:26.80%, time:210 m:9 s, avg loss: 11.36, avg acc:0.1016%, last loss: 10.52
Train completion:26.93%, time:211 m:13 s, avg loss: 11.36, avg acc:0.1011%, last loss: 10.23
Train completion:27.06%, time:212 m:16 s, avg loss: 11.35, avg acc:0.1006%, last loss: 10.80
Train completion:27.19%, time:213 m:19 s, avg loss: 11.35, avg acc:0.1001%, last loss: 10.71
Train completion:27.32%, time:214 m:22 s, avg loss: 11.35, avg acc:0.0996%, last loss: 10.94
Train completion:27.46%, time:215 m:27 s, avg loss: 11.34, avg acc:0.0992%, last loss: 11.12
Train completion:27.59%, time:216 m:29 s, avg loss: 11.34, avg acc:0.0987%, last loss: 10.38
Train completion:27.72%, time:217 m:33 s, avg loss: 11.34, avg acc:0.0982%, last loss: 10.54
Train completion:27.85%, time:218 m:36 s, avg loss: 11.34, avg acc:0.0977%, last loss: 10.49
Train completion:27.98%, time:219 m:40 s, avg loss: 11.33, avg acc:0.1386%, last loss: 10.41
Train completion:28.12%, time:220 m:43 s, avg loss: 11.33, avg acc:0.1379%, last loss: 10.93
