Worse than ViTm_ImplicitAttn5(sine)_Layer_scale_init_Block and similar speed. 

----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:22.84%, time:25 m:29 s, avg loss: 11.47, avg acc:0.1156%, last loss: 10.58
Train completion:22.97%, time:25 m:37 s, avg loss: 11.46, avg acc:0.1149%, last loss: 10.87
Train completion:23.10%, time:25 m:46 s, avg loss: 11.46, avg acc:0.1143%, last loss: 10.46
Train completion:23.23%, time:25 m:55 s, avg loss: 11.46, avg acc:0.1136%, last loss: 11.05
Train completion:23.36%, time:26 m:3 s, avg loss: 11.45, avg acc:0.1130%, last loss: 10.41
Train completion:23.50%, time:26 m:12 s, avg loss: 11.45, avg acc:0.1124%, last loss: 10.28
Train completion:23.63%, time:26 m:21 s, avg loss: 11.45, avg acc:0.1676%, last loss: 11.13
Train completion:23.76%, time:26 m:29 s, avg loss: 11.44, avg acc:0.1667%, last loss: 10.91
Train completion:23.89%, time:26 m:38 s, avg loss: 11.44, avg acc:0.1657%, last loss: 10.88
Train completion:24.02%, time:26 m:47 s, avg loss: 11.43, avg acc:0.1648%, last loss: 10.95
Train completion:24.16%, time:26 m:55 s, avg loss: 11.43, avg acc:0.1639%, last loss: 10.80
Train completion:24.29%, time:27 m:4 s, avg loss: 11.43, avg acc:0.1630%, last loss: 10.84
Train completion:24.42%, time:27 m:13 s, avg loss: 11.42, avg acc:0.1622%, last loss: 10.51
Train completion:24.55%, time:27 m:21 s, avg loss: 11.42, avg acc:0.1613%, last loss: 10.65
Train completion:24.68%, time:27 m:30 s, avg loss: 11.41, avg acc:0.1604%, last loss: 10.66
Train completion:24.82%, time:27 m:38 s, avg loss: 11.41, avg acc:0.1596%, last loss: 11.51
Train completion:24.95%, time:27 m:47 s, avg loss: 11.41, avg acc:0.1587%, last loss: 10.77
Train completion:25.08%, time:27 m:56 s, avg loss: 11.40, avg acc:0.1579%, last loss: 11.26
Train completion:25.21%, time:28 m:5 s, avg loss: 11.40, avg acc:0.1571%, last loss: 10.37
Train completion:25.34%, time:28 m:13 s, avg loss: 11.40, avg acc:0.1562%, last loss: 10.71
Train completion:25.48%, time:28 m:22 s, avg loss: 11.39, avg acc:0.1554%, last loss: 10.73
Train completion:25.61%, time:28 m:31 s, avg loss: 11.39, avg acc:0.1546%, last loss: 10.80
Train completion:25.74%, time:28 m:39 s, avg loss: 11.39, avg acc:0.1538%, last loss: 10.60
Train completion:25.87%, time:28 m:48 s, avg loss: 11.38, avg acc:0.1531%, last loss: 10.62
Train completion:26.00%, time:28 m:57 s, avg loss: 11.38, avg acc:0.1523%, last loss: 10.86
Train completion:26.14%, time:29 m:5 s, avg loss: 11.38, avg acc:0.1515%, last loss: 11.05
Train completion:26.27%, time:29 m:15 s, avg loss: 11.37, avg acc:0.1508%, last loss: 11.09
Train completion:26.40%, time:29 m:23 s, avg loss: 11.37, avg acc:0.1500%, last loss: 10.86
Train completion:26.53%, time:29 m:32 s, avg loss: 11.37, avg acc:0.1493%, last loss: 10.89
Train completion:26.66%, time:29 m:41 s, avg loss: 11.36, avg acc:0.1485%, last loss: 10.60
